,typeCode,cmdCode,freqCode,refYear,reporterDesc,partnerDesc,flowCode,primaryValueFormated
0,C,TOTAL,A,2020,China,Angola,M,"14,757,730,338.0"
1,C,TOTAL,A,2020,China,Angola,X,"1,748,092,204.0"
2,C,TOTAL,A,2020,China,Brazil,M,"85,517,209,220.0"
3,C,TOTAL,A,2020,China,Brazil,X,"34,953,227,525.0"
4,C,TOTAL,A,2020,China,Cabo Verde,M,"1,209,992.0"
5,C,TOTAL,A,2020,China,Cabo Verde,X,"77,836,679.0"
6,C,TOTAL,A,2020,China,Guiné Equatorial,M,"1,182,549,225.0"
7,C,TOTAL,A,2020,China,Guiné Equatorial,X,"122,120,216.0"
8,C,TOTAL,A,2020,China,Moçambique,M,"579,498,619.0"
9,C,TOTAL,A,2020,China,Moçambique,X,"2,000,068,552.0"
10,C,TOTAL,A,2020,China,Portugal,M,"2,772,488,349.0"
11,C,TOTAL,A,2020,China,Portugal,X,"4,180,565,068.0"
12,C,TOTAL,A,2020,China,Guiné-Bissau,M,"5,381.0"
13,C,TOTAL,A,2020,China,Guiné-Bissau,X,"51,430,636.0"
14,C,TOTAL,A,2020,China,Timor-Leste,M,"1,210,615.0"
15,C,TOTAL,A,2020,China,Timor-Leste,X,"191,272,397.0"
16,C,TOTAL,A,2020,China,São Tomé e Príncipe,M,"46,656.0"
17,C,TOTAL,A,2020,China,São Tomé e Príncipe,X,"20,313,472.0"
18,C,TOTAL,A,2021,China,Angola,M,"20,908,231,317.0"
19,C,TOTAL,A,2021,China,Angola,X,"2,491,545,681.0"
20,C,TOTAL,A,2021,China,Brazil,M,"109,877,876,281.0"
21,C,TOTAL,A,2021,China,Brazil,X,"53,612,224,393.0"
22,C,TOTAL,A,2021,China,Cabo Verde,M,"1,146,922.0"
23,C,TOTAL,A,2021,China,Cabo Verde,X,"84,537,739.0"
24,C,TOTAL,A,2021,China,Guiné Equatorial,M,"1,215,142,465.0"
25,C,TOTAL,A,2021,China,Guiné Equatorial,X,"123,984,094.0"
26,C,TOTAL,A,2021,China,Moçambique,M,"1,141,126,932.0"
27,C,TOTAL,A,2021,China,Moçambique,X,"2,895,605,441.0"
28,C,TOTAL,A,2021,China,Portugal,M,"3,453,790,380.0"
29,C,TOTAL,A,2021,China,Portugal,X,"5,354,238,083.0"
30,C,TOTAL,A,2021,China,Guiné-Bissau,M,"1,111.0"
31,C,TOTAL,A,2021,China,Guiné-Bissau,X,"88,878,914.0"
32,C,TOTAL,A,2021,China,Timor-Leste,M,"113,151,289.0"
33,C,TOTAL,A,2021,China,Timor-Leste,X,"260,433,279.0"
34,C,TOTAL,A,2021,China,São Tomé e Príncipe,M,"132,797.0"
35,C,TOTAL,A,2021,China,São Tomé e Príncipe,X,"14,944,515.0"
